checklist,test_name,shell,timeout,setup,kind,type,file,table,expected,name,src_dir,dest_dir,dest_name,in_encoding,expected_dir,tobe_dir,compare_mode,key,encoding,mask,tolerance,layout,delimiter,has_header,normalize
CK001,顧客マスタ_AB merge,batch/merge_cust.sh,120,,input,database,a_odd.csv,TBL_A,,Table A(奇数行),/asis/in,,,shift_jis,,,,,,,,,,,
CK001,顧客マスタ_AB merge,,,,input,database,b_even.csv,TBL_B,,Table B(偶数行),/asis/in,,,shift_jis,,,,,,,,,,,
CK001,顧客マスタ_AB merge,,,,output,database,,TBL_C,cust_c_expected.dat,Table C(merge結果),,,,,/asis/out,/tobe/out,record,CUST_ID,utf-8,UPD_TS,0,,,true,UPD_DATE:date;BALANCE:num:2;MEMO:nullblank
CK002,取引明細_集計,batch/tx_sum.sh,180,,input,file,tx_in.csv,,,取引入力,/asis/in,/tobe/in,tx_in.csv,shift_jis,,,,,,,,,,,
CK002,取引明細_集計,,,,output,file,tx_out.dat,,tx_expected.dat,集計結果,,,,,/asis/out,/tobe/out,record,0,utf-8,3,0.001,,,false,1:zeropad:8;2:num:2
CK003,残高_固定長レコード,batch/balance.sh,90,db/reset_seq.sql,input,database,bal_in.csv,BAL_IN,,残高入力,/asis/in,,,shift_jis,,,,,,,,,,,
CK003,残高_固定長レコード,,,,output,file,bal.dat,,bal_expected.dat,残高(固定長),,,,,/asis/out,/tobe/out,record,0,shift_jis,,0,0:6;6:26;26:38;38:46,,false,0:zeropad:6;38:date
CK004,帳票_完全一致,batch/report.sh,120,,input,file,r_in.csv,,,帳票入力,/asis/in,/tobe/in,r_in.csv,shift_jis,,,,,,,,,,,
CK004,帳票_完全一致,,,,output,file,report.txt,,report_expected.txt,帳票(byte一致),,,,,/asis/out,/tobe/out,byte,,,,,,,,
CK005,口座_テキスト比較,batch/account.sh,60,,input,file,acc_in.csv,,,口座入力,/asis/in,/tobe/in,acc_in.csv,shift_jis,,,,,,,,,,,
CK005,口座_テキスト比較,,,,output,file,acc_out.txt,,acc_expected.txt,口座(text),,,,,/asis/out,/tobe/out,text,,utf-8,,,,,,
